"unique.values" "nr.appearances"
"439" "monday" 4958
"440" "power" 4950
"441" "government" 4946
"442" "country" 4920
"443" "looks" 4892
"444" "needs" 4877
"445" "according" 4844
"446" "sunday" 4828
"447" "special" 4772
"448" "sometimes" 4771
"449" "hate" 4764
"450" "bring" 4763
"451" "word" 4763
"452" "gonna" 4749
"453" "hand" 4731
"454" "community" 4718
"455" "add" 4715
"456" "red" 4704
"457" "excited" 4662
"458" "street" 4653
"459" "instead" 4653
"460" "thinking" 4644
"461" "cut" 4628
"462" "ask" 4625
"463" "couple" 4624
"464" "based" 4622
"465" "move" 4621
"466" "close" 4612
"467" "baby" 4611
"468" "won't" 4611
"469" "series" 4603
"470" "saying" 4603
"471" "leave" 4593
"472" "running" 4590
"473" "birthday" 4582
"474" "important" 4579
"475" "stuff" 4564
"476" "buy" 4551
"477" "park" 4548
"478" "words" 4525
"479" "phone" 4522
"480" "means" 4518
"481" "court" 4514
"482" "road" 4509
"483" "former" 4498
"484" "service" 4491
"485" "list" 4482
"486" "song" 4476
"487" "john" 4475
"488" "meet" 4454
"489" "project" 4445
"490" "seems" 4442
"491" "quite" 4429
"492" "program" 4425
"493" "behind" 4416
"494" "deal" 4403
"495" "outside" 4380
"496" "share" 4378
"497" "hot" 4377
"498" "college" 4363
"499" "books" 4353
"500" "event" 4347
"501" "april" 4333
"502" "talking" 4329
"503" "future" 4329
"504" "heard" 4328
